text,label
"Your account has been suspended. Click here immediately to verify your password.",1
"Congratulations! You have won a prize. Click the link to claim it now.",1
"Urgent action required. Confirm your bank account information immediately.",1
"Your password will expire today. Verify your account using the link below.",1
"Dear customer, your account has been selected for verification. Submit your login details.",1
"Click here to receive your reward. Your account requires immediate verification.",1
"Your banking account has been locked. Login now to restore access.",1
"Important security alert. Confirm your identity immediately.",1
"Please submit your username and password to prevent account closure.",1
"You have received a suspicious login alert. Verify your account now.",1
"Hi team, the meeting is scheduled for tomorrow at 10 AM.",0
"Please find attached the project report for today's meeting.",0
"Can we reschedule our meeting to Friday afternoon?",0
"Thank you for sending the documents. I will review them today.",0
"The assignment deadline has been extended until Monday.",0
"Please remember to bring your student ID tomorrow.",0
"Here are the notes from today's class.",0
"Your application has been received successfully. Thank you.",0
"The team meeting will start at 2 PM.",0
"Please review the attached project proposal.",0
